Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,28.281031,28.342188,28.281031,28.203148,28.203148,0
2020-11-03,28.344378,28.344378,28.310032,28.342188,28.342188,0
2020-11-04,28.367088,28.367088,28.178307,28.310032,28.310032,0
2020-11-05,28.154390,28.154390,27.988094,28.178307,28.178307,0
2020-11-06,27.982170,27.982170,27.849382,27.988094,27.988094,0
2020-11-09,27.836733,27.872604,27.836733,27.849382,27.849382,0
2020-11-10,27.985674,27.985674,27.864037,27.858093,27.858093,0
2020-11-11,27.819624,27.928766,27.819624,27.864037,27.864037,0
2020-11-12,27.892025,27.956528,27.892025,27.928766,27.928766,0
2020-11-13,27.961500,27.961500,27.878616,27.956528,27.956528,0
2020-11-16,27.785934,27.814859,27.785934,27.878616,27.878616,0
2020-11-17,27.779680,27.876228,27.779680,27.814859,27.814859,0
2020-11-18,27.925730,27.925730,27.904997,27.876228,27.876228,0
2020-11-19,27.960838,28.094427,27.960838,27.904997,27.904997,0
2020-11-20,28.001701,28.111332,28.001701,28.094427,28.094427,0
2020-11-23,28.103046,28.141970,28.103046,28.111332,28.111332,0
2020-11-24,28.277538,28.277538,28.114264,28.141970,28.141970,0
2020-11-25,28.040424,28.149961,28.040424,28.114264,28.114264,0
2020-11-26,28.047173,28.193743,28.047173,28.149961,28.149961,0
2020-11-27,28.164989,28.255152,28.164989,28.193743,28.193743,0
2020-11-30,28.135630,28.250051,28.135630,28.255152,28.255152,0
2020-12-01,28.334923,28.334923,28.323502,28.250051,28.250051,0
2020-12-02,28.085411,28.187885,28.072968,28.323502,28.323502,0
2020-12-03,28.034063,28.085480,28.034063,28.187885,28.187885,0
2020-12-04,28.045124,28.045301,28.045124,28.085480,28.085480,0
2020-12-07,28.121687,28.121687,27.945539,28.045301,28.045301,0
2020-12-08,27.944847,27.944847,27.816681,27.945539,27.945539,0
2020-12-09,27.823456,27.845692,27.823456,27.816681,27.816681,0
2020-12-10,27.924515,27.924515,27.846136,27.845692,27.845692,0
2020-12-11,27.683266,27.717632,27.683266,27.846136,27.846136,0
2020-12-14,27.694780,27.694780,27.612097,27.717632,27.717632,0
2020-12-15,27.596313,27.596313,27.507444,27.612097,27.612097,0
2020-12-16,27.521027,27.568789,27.521027,27.507444,27.507444,0
2020-12-17,27.547100,27.609398,27.524881,27.568789,27.568789,0
2020-12-18,27.565809,27.656153,27.565809,27.609398,27.609398,0
2020-12-21,27.769300,27.872072,27.769300,27.656153,27.656153,0
2020-12-22,27.736364,28.146097,27.736364,27.872072,27.872072,0
2020-12-23,28.293327,28.293327,28.209843,28.146097,28.146097,0
2020-12-24,28.170097,28.170097,28.132074,28.209843,28.209843,0
2020-12-25,28.139229,28.139229,28.139229,28.132074,28.132074,0
2020-12-28,28.105566,28.114313,28.105566,28.139229,28.139229,0
2020-12-29,28.040503,28.040503,27.945162,28.114313,28.114313,0
2020-12-30,27.852854,28.095177,27.852854,27.945162,27.945162,0
2020-12-31,28.015959,28.084789,28.015959,28.095177,28.095177,0
2021-01-01,28.229645,28.229645,28.229645,28.084789,28.084789,0
2021-01-04,28.141291,28.202839,28.112038,28.229645,28.229645,0
2021-01-05,28.280836,28.280836,28.081881,28.186327,28.186327,0
2021-01-06,28.048059,28.048059,28.006123,28.094469,28.094469,0
2021-01-07,28.042009,28.042009,28.034096,28.006123,28.006123,0
2021-01-08,28.047829,28.047829,28.027296,28.034096,28.034096,0
2021-01-11,28.196001,28.196001,27.920731,28.086218,28.086218,0
2021-01-12,27.948999,27.948999,27.782427,27.920731,27.920731,0
2021-01-13,27.636898,27.717699,27.636898,27.782427,27.782427,0
2021-01-14,27.717587,27.827295,27.717587,27.717699,27.717699,0
2021-01-15,27.825922,27.833624,27.825922,27.827295,27.827295,0
2021-01-18,27.928787,27.968714,27.924164,27.928556,27.928556,0
2021-01-19,27.897829,27.897829,27.882999,27.968714,27.968714,0
2021-01-20,27.845678,28.006821,27.845678,27.882999,27.882999,0
2021-01-21,27.980139,28.040537,27.980139,28.006821,28.006821,0
2021-01-22,27.981451,27.981451,27.934784,28.040537,28.040537,0
2021-01-25,27.950052,27.950052,27.903847,27.934784,27.934784,0
2021-01-26,27.927626,27.927626,27.890224,27.903847,27.903847,0
2021-01-27,27.849058,27.934837,27.849058,27.890224,27.890224,0
2021-01-28,27.964500,27.964500,27.912973,27.934837,27.934837,0
2021-01-29,27.899834,27.899834,27.838905,27.912973,27.912973,0
2021-02-01,27.871387,27.878513,27.798555,27.849228,27.849228,0
2021-02-02,27.800741,27.800741,27.782293,27.798555,27.798555,0
2021-02-03,27.750122,27.750122,27.744358,27.782293,27.782293,0
2021-02-04,27.681890,27.681890,27.604145,27.744358,27.744358,0
2021-02-05,27.662502,27.662502,27.510496,27.604145,27.604145,0
2021-02-08,27.377604,27.400024,27.377604,27.510496,27.510496,0
2021-02-09,27.327101,27.461330,27.327101,27.400024,27.400024,0
2021-02-10,27.429600,27.536783,27.429600,27.461330,27.461330,0
2021-02-11,27.538261,27.558498,27.538261,27.536783,27.536783,0
2021-02-12,27.562702,27.622660,27.562702,27.558498,27.558498,0
2021-02-15,27.571978,27.616955,27.571978,27.622660,27.622660,0
2021-02-16,27.578861,27.605684,27.578861,27.616955,27.616955,0
2021-02-17,27.770147,27.770147,27.635353,27.605684,27.605684,0
2021-02-18,27.674360,27.674360,27.596371,27.635353,27.635353,0
2021-02-19,27.550257,27.603872,27.550257,27.596371,27.596371,0
2021-02-22,27.629709,27.659883,27.629709,27.647720,27.647720,0
2021-02-23,27.570948,27.683769,27.570948,27.659883,27.659883,0
2021-02-24,27.675570,27.700047,27.670221,27.683769,27.683769,0
2021-02-25,27.639534,27.639534,27.639534,27.700047,27.700047,0
2021-02-26,27.700737,27.700737,27.700737,27.639534,27.639534,0
2021-03-01,27.761370,27.764317,27.752068,27.700737,27.700737,0
2021-03-02,27.792933,27.792933,27.684505,27.764317,27.764317,0
2021-03-03,27.539232,27.573542,27.539232,27.684505,27.684505,0
2021-03-04,27.573771,27.573771,27.474499,27.573542,27.573542,0
2021-03-05,27.650900,27.650900,27.497969,27.474499,27.474499,0
2021-03-08,27.520447,27.526342,27.520447,27.497969,27.497969,0
2021-03-09,27.582380,27.582380,27.453962,27.526342,27.526342,0
2021-03-10,27.494846,27.494846,27.491360,27.453962,27.453962,0
2021-03-11,27.327276,27.507420,27.327276,27.491360,27.491360,0
2021-03-12,27.461248,27.461248,27.461248,27.507420,27.507420,0
2021-03-15,27.438923,27.465971,27.363934,27.389456,27.389456,0
2021-03-16,27.363705,27.440065,27.363705,27.363934,27.363934,0
2021-03-17,27.424791,27.424791,27.424791,27.440065,27.440065,0
2021-03-18,27.419092,27.419092,27.419092,27.424791,27.424791,0
2021-03-19,27.501741,27.501741,27.467890,27.419092,27.419092,0
2021-03-22,27.513306,27.513306,27.434982,27.506594,27.506594,0
2021-03-23,27.429232,27.534605,27.429232,27.434982,27.434982,0
2021-03-24,27.618034,27.630896,27.618034,27.534605,27.534605,0
2021-03-25,27.677095,27.688555,27.677095,27.630896,27.630896,0
2021-03-26,27.742716,27.742716,27.709335,27.688555,27.688555,0
2021-03-29,27.699104,27.750561,27.699104,27.709335,27.709335,0
2021-03-30,27.738537,27.738537,27.630789,27.750561,27.750561,0
2021-03-31,27.655422,27.655422,27.580774,27.630789,27.630789,0
2021-04-01,27.594765,27.594765,27.585373,27.580774,27.580774,0
2021-04-02,27.500658,27.500658,27.500658,27.585373,27.585373,0
2021-04-05,27.516670,27.575621,27.516670,27.500658,27.500658,0
2021-04-06,27.401262,27.552572,27.401262,27.551682,27.551682,0
2021-04-07,27.401842,27.705458,27.401842,27.552572,27.552572,0
2021-04-08,27.748409,27.748409,27.659683,27.705458,27.705458,0
2021-04-09,27.527876,27.645205,27.527876,27.659683,27.659683,0
2021-04-12,27.634747,27.682863,27.634747,27.624529,27.624529,0
2021-04-13,27.774881,27.774881,27.774881,27.682863,27.682863,0
2021-04-14,27.703550,27.703550,27.703550,27.774881,27.774881,0
2021-04-15,27.702213,27.702213,27.702213,27.703550,27.703550,0
2021-04-16,27.739140,27.739140,27.739140,27.702213,27.702213,0
2021-04-19,27.786188,27.828972,27.744711,27.766237,27.766237,0
2021-04-20,27.760077,27.760077,27.760077,27.744711,27.744711,0
2021-04-21,27.898895,27.898895,27.898895,27.760077,27.760077,0
2021-04-22,27.795504,27.795504,27.795504,27.898895,27.898895,0
2021-04-23,27.649567,27.649567,27.649567,27.795504,27.795504,0
2021-04-26,27.536154,27.605350,27.536154,27.552771,27.552771,0
2021-04-27,27.631060,27.655212,27.516535,27.605350,27.605350,0
2021-04-28,27.520521,27.537346,27.520521,27.516535,27.516535,0
2021-04-29,27.374498,27.501093,27.374498,27.537346,27.537346,0
